AS DIRECTED , NEW PATCH ONCE A WEEKFOR 3 WEEKS AND TAKE 1 WEEK OFF|U UTD, APP NEW PATCH Q WEEK FOR 3 WEEKS AND TK 1 WEEK OFF|PTWK|150-20MCG/24HR
TAKE 1 CAPSULE (HARD, SOFT, ETC.) ONCE A WEEK|TAKE 1 CAPSULE ONCE A WEEK|CAPS|50,000 unit
TAKE 1 TABLET DAILY IN MORNING AFTERSTOPPING BUPROPION 150MG| TK 1 T PO D QAM AFTER STOPPING BUPROPION 150MG|TB24|
INHALE VIA NEBULIZER -- ONE AMPULE EVERY 4-6 HRS AS NEEDED FOR COUGH, WHEEZING OR SHORTNESS OF BREATH|USE 1 VIAL VIA NEBULIZER Q 4 TO 6 H PRF COUGH, WHEEZING OR SOB|NEBU|
APPLY SPARINGLY TO AFFECTED AREA(S) ONCE DAILY AT BEDTIME; AFTER ONE WEEK MAY CUT BACK TO EVERY OTHER NIGHT FOR EXCESSIVE FLAKING .|APP SPARINGLY AA(S) ONCE D HS ; AFTER ONE WEEK MAY CUT BACK TO Q OTHER NIGHT FOR EXCESSIVE FLAKING|CREA|0.025
INSTILL 1 SQUIRT DAILY USE TWICE DAILY FOR FIRST 7 DAYS|USE 1 SPRAY IEN BID  FOR THE FIRST 7 DAYS|SUSP|50
TAKE 1 TABLET DAILY.|TK 1 T PO ONCE D|TABS|10
TAKE LANCETS AS NEEDED INJECTION|USE UTD|MISC|
TAKE AS DIRECTED THREE TIMES A DAY WITH IRON ORALLY|TK 1 T PO TID  WITH IRON|TBCR|500
APPLY SPARINGLY TOPICAL T.I.D.| APP EXT AA TID|CREA|
TAKE 1 TABLET TID| TK 1 T PO TID|TABS|
ONE TABLET DAILY FOR HTN| TK 1 T PO QD FOR HIGH BP|TABS|
TAKE AS DIRECTED TWICE A DAY EXTERNALLY|APP EXTERNALLY AA(S) BID|CREA|1
TAKE AS DIRECTED TWICE A DAY EXTERNALLY| APP EXT AA BID UTD|CREA|1
TAKE 1/2 TSP Q4 PRN ORALLY|G "RICHARD" 1/2 TES PO Q  4 H PRN|LIQD|160
TAKE 1/2 TSP Q4 PRN ORALLY|G "RICHARD" 1/2 TES PO Q 4 H PRN|LIQD|160
10 ML BY MOUTH AS DIRECTED; 2 TSP DAY ONE, 1 TSP. DAY 2-5|TAKE 2 TEA PO ON DAY ONE, AND 1 TEA ON DAY 2-5|SUSR|
BID|TK 1 T PO BID|TABS|
2 PUFF INH Q4HP PRN|INHALE 2 PUFFS PO EVERY 4 HOURS PRN|AERS|90
APPLY PRN|APPLY TO AFFECTED AREA(S) PRN|SUSP|
BID|APPLY TO AFFECTED AREA(S) BID|GEL |
1 BY MOUTH TWICE A DAY X 7 DAYS|TK 1 T PO BID FOR 7 DAYS|TABS|500
AS NEEDED (PRN); APPLY TO AFFECTED AREA TID PRN|APPLY TO AFFECTED AREA TID PRN|CREA|
1-2 PUFF Q 4 HOURS AND BEFORE EXERCISE PRN (AS NEEDED)|INHALE 1 TO 2 PUFFS PO EVERY 4 HOURS AND BEFORE EXERCISE PRN|AERS|
APPLY 1 PATCH(ES) TOAFFECTED AREA FOR UP TO 12 HOURS IN A 24 HOUR PERIOD|APPLY 1 PATCH TO AFFECTED AREA UP TO 12 HOURS IN A 24 HOUR PERIOD|PTCH|
TAKE 1 TABLET EVERY MORNING WITH WATER ONLY 30 MINUTES PRIOR TO FOOD OR OTHER MEDICATIONS|TK 1 T PO QAM WITH WATER ONLY 30 MINUTES PRIOR TO FOOD OR OTHER MEDICATIONS|TABS|
APPLY TO AFFECTED AREA TID FOR 7 DAYS|APPLY TO AFFECTERD AREA TID FOR 7 DAYS|OINT|2
TAKE 2-3 TABS DAILY FOR EPISODIC GOUT, TITRATE FOR USE OVER 4 DAYS|TK 2 TO 3 TS PO FOR EPISODIC GOUT, TITRATE FOR USE OVER 4 DAYS|TABS|20
TAKE AS DIRECTED ON PATIENT INSTRUCTION CARD.|TK UTD ON PATIENT INSTRUCTION CARD|TABS|4
APPLY TO AFFECTED AREA AT BEDTIME|APPLY TO AFFECTED AREA HS|CREA|
ONE P O QHS| TK 1 T PO QHS|TABS|
ONCE A DAY , TAKE BEFORE LARGESST MEAL OF THE DAY. 1 PO QD FOR 1WEEK, THEN 2 PO QD FOR 1 WEEK, THEN 3 PO QD FOR 1 WEEK, THEN 4 PO QD|TK 1 T QD FOR 1 WEEK, THEN 2 TS QD FOR 1 WEEK, THEN 3 QD FOR 1 WEEK, THEN 4 QD. TK WITH LARGEST MEAL|TB24|500
2 CAPSULES TODAY AND 1 CAPSULE THE NEXT FOUR DAYS|TK 2 TS PO TODAY AND 1 T PO QD FOR 4 DAYS|TABS|
TAKE 1 TABLET TWICE A DAY FOR 30 DAYS|TK 1 T PO BID|TABS|
"40 TABLET QD FOR 30| TK 1 T PO	QD|TABS|"
BID|TK 1 C PO BID|CAPS|
AS DIRECTED , 3 PILLS (900 MG ) THREE TIMES PER DAY|TK 3 CS PO TID UTD|CAPS|300
TAKE 1 TABLET 1 TIME ONLY.|TK 1 T PO ONCE|TABS|150
TAKE 1 QD|TK 1 T PO QD|TABS|
TAKE 1 TABLET DAILY| TK 1 T PO  QD|TABS|0.15-0.02/0.01
TAKE 2 TABLET DAILY|TK 2 TS PO D|TABS|1000
1 ORAL DAILY|TK 1 T PO ONCE D|TABS|
6.40163E+12|TK 1 T PO ONCE D|TABS|Tablet(s)
TAKE 1 TABLET EVERY DAY OR AS DIRECTED| TK 1 T PO  QD - OR UTD|TABS|1
1 ORAL BID PRN| TK 1 T PO  BID|TABS|
APPLY 2-3 TIMES DAILY TO AFFECTED AREA(S).|APPLY 2 TO 3 TIMES D TO AFFECTED AREA(S)|CREA|1
240 ML ORAL Q15MIN|DRINK 240 ML PO Q 15 MIN AS DIRECTED|SOLR|
1 PO ONCE A WEEK|TK 1 T PO ONCE A WEEK, UTD|TABS|
TAKE 1 QD|TK 1 T PO QD|TABS|
USE PER SLIDING SCALE 150-250=3 UNITS. 251-350=6 UNITS. 351-350=9 UNITS.|USE PER SLIDING SCALE 150-250 = 3 UNITS, 251-350 = 6 UNITS, 351-350 = 9 UNITS|SOLN|
1 ORAL QD|TK 1 T PO QD|TABS|
TAKE 1 TABLET DAILY AS DIRECTED.|TK 1 T PO D AS DIRECTED|TABS|2.5
MIX 1/2 TO 1 CAPFUL IN 8 OUNCES OF LIQUID AND DRINK DAILY TO MAINTAIN SOFT REGULAR STOOLS.|MIX 1/2 - 1 CAPFUL IN 8OZ OF LIQUID AND DRINK D TO MAINTAIN SOFT REGULAR STOOL|POWD|
2 PUFF INH QID,PRN:FOR WHEEZING|USE 2 PUFFS QID PRF WHEEZING|AERS|
2 PUFF INH QID,X7 DAY,INSTR:USE WITH SPACER CHAMBER AND PRESCRIBE A SPACER ; AS NEEDED FOR COUGH AND WHEEZING AND SOB|USE 2 PUFFS QID FOR 7 DAYS, THEN PRF COUGH AND WHEEZING AND SOB|AERS|
TAKE 1 TABLET TWICE DAILY| TK 1 T PO  BID|TB24|750
TAKE ONE TABLET DAILY| TK 1 T PO  QD|TB24|300
TAKE 1 CAPSULE EVERY 6 HOURS DAILY.| TK ONE C PO  Q 6 H D|CAPS|10
TAKE 1 TABLET EVERY DAY OR AS DIRECTED| TK 1 T PO  QD|TABS|1
TAKE 1 CAPSULE DAILY| TK ONE C PO  QD|CPEP|60
1 ORAL BID| TK ONE C PO  BID|CAPS|
TAKE 1 TABLET TWICE DAILY|TK 1 T PO BID|TABS|250
TAKE 1 TABLET EVERY 12 HOURS DAILY.| TK 1 T PO  Q 12 H|TABS|875
BID|USE TO TEST BID|STRP|
1 TAB(S) PO QDAY PRN|TK 1 T PO QD PRN|TABS|
1 TAB(S) PO QDAY|TK 1 T PO ONCE D|TABS|
1 TAB(S) PO QDAY PRN|30|CAPS|
TAKE 1 TABLET DAILY.| TK 1 T PO QD|TABS|40
1-2 TABS AT BEDTIME FOR INSOMNIA; CANCEL ALL PREVIOUS SCRIPTS FOR THIS|TK 1 TO 2 TS PO HS FOR INSOMNIA|TABS|
4 TABLET ORALLYDAILY; LABS TO BE DONE FOR MONITORING; TAKE WITH FOOD.|TK 4 TS PO D. TAKE WITH FOOD (LABS TO BE DONE FOR MONITORING)|TABS|
TWICE A DAY| TK ONE C PO BID|CP24|37.5
1 TWICE A DAY| TK 1 T PO BID|TABS|75
TAKE 1 TABLET DAILY| TK 1 T PO QD|TABS|20
ONCE A DAY , WILL BE IN NEXT WEEK WITH INSURANCE CARDS TO PICK UP RX| TK ONE C PO QD|CPDR|20
TAKE 1 TABLET 3 TIMES DAILY AS NEEDED FOR HEADACHE.| TK 1 T PO  TID PRF HEADACHE|TABS|50-325-40
TAKE 1 TABLET ONCE DAILY.| TK 1 T PO QD|TB24|5
1 PACKET ORAL ONCE,INSTR:AS DIRECTED ON PACKAGE LABELING|TK 2 TS PO AT ONCE TODAY, THEN TK 1 T PO ONCE D FOR 4 DAYS|TABS|
2, 1 ORAL QD|TK 2 TS PO D FOR ONE DAY, THEN 1 T D FOR FOUR DAYS|TABS|
1 ORAL DAILY|TK 1 T PO D|TABS|
1 PO DAILY|TK 1  T PO D|TABS|
1 ORAL BID| TK 1 T PO  BID|TABS|
1 TAB SR 24HR, ORAL, AFTER A FULL MEAL|TK 1 T PO  ONCE D AFTER A FULL MEAL|TB24|
1 PACK AS DIRECTED|TK 2 T PO ON DAY ONE AND THEN TK 1 T PO QD FOR 4 DAYS|TABS|
TAKE 2 TABS BID|TK 2 TS PO BID|TABS|
1 1/4 TSP BID X 10D|SW AND G "HANNAH" 1 & 1/4 TEA PO BID FOR 10 DAYS DR.|SUSR|
"TAKE 1 TABLET(S) BY MOUTH ONCE| TK 1 T PO	ONCE|TABS|"
1 TAB(S) PO QDAY| TK 1 T PO  QD|TABS|
PLACE BY INTRADERMAL ROUTE MONITOR BG ONCE A DAY AT ALTERNATE TIMES AND RECORD THE RESULTS|TEST ONCE A DAY AT ALTERNATE TIMES AND RECORD THE RESULTS|STRP|
APPLY TOPICALLY DAILY. ONCE A DAY AS NEEDED FOR SPOT TREATMENT.|APP AA D PRF SPOT TREATMENT|GEL |
APPLY TO AFFECTED AREA(S) BY TOPICAL ROUTE 2 TIMES A DAY FOR 90 DAYS|APP AA BID FOR 90 DAYS|LIQD|10%
1 PACKET(S) PO ONCE,INSTR:AS DIRECTED ON PACKAGE LABELING|TK 2 TS TODAY, THEN TK 1 T PO QD UNTIL FINISHED|TABS|
1 PACK AS DIRECTED PRN|TK UTD PRN|TABS|
TAKE ONE BY MOUTH DAILY|TK 1 T PO D|TABS|25
USE AS A WASH FOR SKIN AFFECTED BY ACNE|U AS A WASH FOR SKIN AFFECTED BY ACNE|EMUL|
APPLY A PEA SIZED AMOUNT TO FACE QD|APP A PEA SIZED AMOUNT TO FACE QD|CREA|
1 BID WITH MEALS FOR 2 WEEKS, THEN AS NEEDED.|TK 1 T PO BID WITH MEALS FOR 2 WEEKS, THEN PRN|TABS|
APPLY TO BACK DAILY|APP TO BACK D|CREA|
TAKE AS DIRECTED; STOP ALL OTHER ANTI-INFLAMMATORIES UNTIL COMPLETED|TK UTD|TABS|
TAKE AS DIRECTED DAILY AS DIRECTED ORALLY|TK UTD|TABS|4
APPLY BY TOPICAL ROUTE EVERY DAYTO THE AFFECTED AREA(S)|APP AA QD UTD|OINT|
APPLY BY TOPICAL ROUTE EVERY DAY TO THE AFFECTED AREA(S)|APP AA QD|OINT|
1 PACKET(S) PO AS DIRECTED,X5 DAY(S),INSTR:AS DIRECTED ON PACKAGE LABELING|TK 2 TS PO AT ONCE TODAY, THEN TK 1 T PO ONCE D FOR 4 DAYS|TABS|
APPLY BY TOPICAL ROUTE 3 TIMES EVERY DAY A SMALL AMOUNT TO THE AFFECTED AREA|APP AA TID|OINT|
APPLY BY TOPICAL ROUTE 5 TIMES EVERY WEEK TO THE AFFECTED AREA(S)|APP AA 5 TIMES EVERY WEEK|CREA|
1 TAB BID|TK1 T PO BID|TABS|
TAKE AS DIRECTED|TK UTD|TABS|
USE AS DIRECTED|USE UTD|TABS|250
1 TAB(S) PO QDAY|TK 1 T PO Q DAY|TABS|
ONCE A DAY| TK 1 T PO  QD|TABS|10
"TAKE 2 AT 5AM, 1 AT 6AM, 8AM, 9AM, 11AM, 12NOON, 2PM, 3PM, 5PM, 6PM, 8PM, 9PM AND PRN X 2|TK 2 TS PO	AT 5AM, 1 T AT 6, 8,9, AND 11 AM, AND 1 T AT 12, 2,3,5, 6, 8, 9 PM AND PRN FOR 90 DAYS|TABS|25-100 mg"
1 TAB(S) PO QDAY|TK 1 T PO ONCE D|TABS|
1 PACKET(S) PO AS DIRECTED,X6 DAY(S),INSTR:AS DIRECTED ON PACKAGE LABELING|USE UTD|TABS|
